# HJD              Flux       Noise    
  2454280.759482   0.999784   5.56E-4  
  2454280.759799   1.001643   5.56E-4  
  2454280.760114   1.000929   5.56E-4  
  2454280.760431   1.000737   5.56E-4  
  2454280.760749   1.000446   5.56E-4  
  2454280.761066   1.000145   5.56E-4  
  2454280.761384   0.999935   5.56E-4  
  2454280.761699   0.999171   5.56E-4  
  2454280.762017   0.999705   5.56E-4  
  2454280.762334   0.999213   5.56E-4  
  2454280.762653   0.999213   5.56E-4  
  2454280.762967   0.999501   5.56E-4  
  2454280.763285   0.997324   5.57E-4  
  2454280.763602   0.99687    5.57E-4  
  2454280.76392    0.997564   5.57E-4  
  2454280.764238   0.997662   5.57E-4  
  2454280.764555   0.997672   5.57E-4  
  2454280.76487    0.996823   5.57E-4  
  2454280.765188   0.997112   5.57E-4  
  2454280.765505   0.995773   5.57E-4  
  2454280.765823   0.996191   5.57E-4  
  2454280.766141   0.99579    5.57E-4  
  2454280.766459   0.995271   5.58E-4  
  2454280.766773   0.995449   5.57E-4  
  2454280.76709    0.997242   5.57E-4  
  2454280.767408   0.995618   5.57E-4  
  2454280.767726   0.995601   5.57E-4  
  2454280.768043   0.995062   5.58E-4  
  2454280.76836    0.993788   5.58E-4  
  2454280.768677   0.993769   5.58E-4  
  2454280.768995   0.993898   5.58E-4  
  2454280.769309   0.994382   5.58E-4  
  2454280.769627   0.994521   5.58E-4  
  2454280.769944   0.994048   5.58E-4  
  2454280.770262   0.992937   5.58E-4  
  2454280.770583   0.993493   5.58E-4  
  2454280.770895   0.994678   5.58E-4  
  2454280.771212   0.99346    5.58E-4  
  2454280.771529   0.993384   5.58E-4  
  2454280.771847   0.992688   5.58E-4  
  2454280.772165   0.992634   5.58E-4  
  2454280.772483   0.993437   5.58E-4  
  2454280.772798   0.993204   5.58E-4  
  2454280.773115   0.993029   5.58E-4  
  2454280.773433   0.992699   5.58E-4  
  2454280.77375    0.9936     5.58E-4  
  2454280.774068   0.993171   5.58E-4  
  2454280.774383   0.994369   5.58E-4  
  2454280.7747     0.993405   5.58E-4  
  2454280.775018   0.993117   5.58E-4  
  2454280.775336   0.992663   5.58E-4  
  2454280.775654   0.993515   5.58E-4  
  2454280.775969   0.992282   5.58E-4  
  2454280.776286   0.992517   5.58E-4  
  2454280.776604   0.993546   5.58E-4  
  2454280.776923   0.993317   5.58E-4  
  2454280.777554   0.992668   5.58E-4  
  2454280.777871   0.993293   5.58E-4  
  2454280.778189   0.993169   5.58E-4  
  2454280.778507   0.992695   5.58E-4  
  2454280.778825   0.993252   5.58E-4  
  2454280.77914    0.993561   5.58E-4  
  2454280.779457   0.993711   5.58E-4  
  2454280.779775   0.992372   5.58E-4  
  2454280.780093   0.994609   5.58E-4  
  2454280.78041    0.994468   5.58E-4  
  2454280.780725   0.992673   5.58E-4  
  2454280.781043   0.994615   5.58E-4  
  2454280.78136    0.992842   5.58E-4  
  2454280.781678   0.993612   5.58E-4  
  2454280.781996   0.993388   5.58E-4  
  2454280.782312   0.993279   5.58E-4  
  2454280.782629   0.993117   5.58E-4  
  2454280.782947   0.992969   5.58E-4  
  2454280.783265   0.993383   5.58E-4  
  2454280.783579   0.993361   5.58E-4  
  2454280.783896   0.993958   5.58E-4  
  2454280.784214   0.99241    5.58E-4  
  2454280.784532   0.993138   5.58E-4  
  2454280.78485    0.993315   5.58E-4  
  2454280.785164   0.992849   5.58E-4  
  2454280.785482   0.993649   5.58E-4  
  2454280.785799   0.993312   5.58E-4  
  2454280.786117   0.993159   5.58E-4  
  2454280.786435   0.994288   5.58E-4  
  2454280.78675    0.993598   5.58E-4  
  2454280.787067   0.994081   5.58E-4  
  2454280.787384   0.992823   5.58E-4  
  2454280.787702   0.992728   5.58E-4  
  2454280.788338   0.992905   5.58E-4  
  2454280.788655   0.993009   5.58E-4  
  2454280.788972   0.992518   5.58E-4  
  2454280.789289   0.994879   5.58E-4  
  2454280.789607   0.993403   5.58E-4  
